Phone timestamp;RR-interval [ms]
11:11:48.162000;653
11:11:48.815000;683
11:11:49.498000;672
11:11:50.170000;670
11:11:50.840000;460
11:11:51.300000;4637
11:11:51.642000;631
11:11:52.273000;628
11:11:52.901000;660
11:11:53.561000;678
11:11:54.239000;705
11:11:54.944000;681
11:11:55.625000;655
11:11:56.280000;660
11:11:56.940000;650
11:11:57.590000;652
11:11:58.242000;633
11:11:58.875000;632
11:11:59.507000;633
11:12:00.140000;640
11:12:00.780000;657
11:12:01.437000;646
11:12:02.083000;668
11:12:02.751000;661
11:12:03.412000;675
11:12:04.087000;663
11:12:04.750000;698
11:12:05.448000;714
11:12:06.162000;711
11:12:06.873000;685
11:12:07.558000;653
11:12:08.211000;616
11:12:08.827000;610
11:12:09.437000;604
11:12:10.041000;615
11:12:10.656000;616
11:12:11.272000;617
11:12:11.889000;605
11:12:12.494000;600
11:12:13.094000;613
11:12:13.707000;643
11:12:14.350000;613
11:12:14.963000;583
11:12:15.546000;578
11:12:16.124000;562
11:12:16.686000;574
11:12:17.260000;585
11:12:17.845000;597
11:12:18.442000;593
11:12:19.035000;588
11:12:19.623000;579
11:12:20.202000;582
11:12:20.784000;595
11:12:21.379000;604
11:12:21.983000;604
11:12:22.587000;605
11:12:23.192000;604
11:12:23.796000;591
11:12:24.387000;588
11:12:24.975000;612
11:12:25.587000;644
11:12:26.231000;637
11:12:26.868000;650
11:12:27.518000;657
11:12:28.175000;646
11:12:28.821000;607
11:12:29.428000;627
11:12:30.055000;630
11:12:30.685000;618
11:12:31.303000;649
11:12:31.952000;628
11:12:32.580000;618
11:12:33.198000;584
11:12:33.782000;590
11:12:34.372000;597
11:12:34.969000;596
11:12:35.565000;572
11:12:36.137000;583
11:12:36.720000;572
11:12:37.292000;575
11:12:37.867000;561
11:12:38.428000;568
11:12:38.996000;567
11:12:39.563000;569
11:12:40.132000;566
11:12:40.698000;565
11:12:41.263000;577
11:12:41.840000;588
11:12:42.428000;564
11:12:42.992000;555
11:12:43.547000;560
11:12:44.107000;565
11:12:44.672000;565
11:12:45.237000;578
11:12:45.815000;596
11:12:46.411000;570
11:12:46.981000;585
11:12:47.566000;579
11:12:48.145000;556
11:12:48.701000;568
11:12:49.269000;575
11:12:49.844000;569
11:12:50.413000;550
11:12:50.963000;562
11:12:51.525000;568
11:12:52.093000;578
11:12:52.671000;599
11:12:53.270000;614
11:12:53.884000;639
11:12:54.523000;612
11:12:55.135000;611
11:12:55.746000;605
11:12:56.351000;604
11:12:56.955000;595
11:12:57.550000;599
11:12:58.149000;603
11:12:58.752000;1180
11:12:59.932000;567
11:13:00.499000;564
11:13:01.063000;551
11:13:01.614000;567
11:13:02.181000;580
11:13:02.761000;569
11:13:03.330000;568
11:13:03.898000;570
11:13:04.468000;560
11:13:05.028000;572
11:13:05.600000;567
11:13:06.167000;585
11:13:06.752000;576
11:13:07.328000;577
11:13:07.905000;595
11:13:08.500000;605
11:13:09.105000;595
11:13:09.700000;618
11:13:10.318000;624
11:13:10.942000;629
11:13:11.571000;612
11:13:12.183000;604
11:13:12.787000;586
11:13:13.373000;561
11:13:13.934000;562
11:13:14.496000;554
11:13:15.050000;541
11:13:15.591000;566
11:13:16.157000;585
11:13:16.742000;596
11:13:17.338000;633
11:13:17.971000;621
11:13:18.592000;630
11:13:19.222000;607
11:13:19.829000;650
11:13:20.479000;634
11:13:21.113000;608
11:13:21.721000;614
11:13:22.335000;580
11:13:22.915000;583
11:13:23.498000;573
11:13:24.071000;574
11:13:24.645000;564
11:13:25.209000;587
11:13:25.796000;587
11:13:26.383000;602
11:13:26.985000;606
11:13:27.591000;610
11:13:28.201000;590
11:13:28.791000;588
11:13:29.379000;578
11:13:29.957000;564
11:13:30.521000;557
11:13:31.078000;563
11:13:31.641000;574
11:13:32.215000;586
11:13:32.801000;562
11:13:33.363000;573
11:13:33.936000;565
11:13:34.501000;576
11:13:35.077000;692
11:13:35.769000;632
11:13:36.401000;611
11:13:37.012000;590
11:13:37.602000;587
11:13:38.189000;576
11:13:38.765000;562
11:13:39.327000;563
11:13:39.890000;552
11:13:40.442000;546
11:13:40.988000;547
11:13:41.535000;546
11:13:42.081000;548
11:13:42.629000;553
11:13:43.182000;562
11:13:43.744000;554
11:13:44.298000;548
11:13:44.846000;550
11:13:45.396000;555
11:13:45.951000;571
11:13:46.522000;592
11:13:47.114000;604
11:13:47.718000;594
11:13:48.312000;570
11:13:48.882000;559
11:13:49.441000;551
11:13:49.992000;549
11:13:50.541000;554
11:13:51.095000;559
11:13:51.654000;571
11:13:52.225000;581
11:13:52.806000;583
11:13:53.389000;602
11:13:53.991000;597
11:13:54.588000;592
11:13:55.180000;599
11:13:55.779000;597
11:13:56.376000;630
11:13:57.006000;729
11:13:57.735000;714
11:13:58.449000;696
11:13:59.145000;669
11:13:59.814000;643
11:14:00.457000;616
11:14:01.073000;595
11:14:01.668000;576
11:14:02.244000;561
11:14:02.805000;550
11:14:03.355000;553
11:14:03.908000;588
11:14:04.496000;657
11:14:05.153000;670
11:14:05.823000;655
11:14:06.478000;618
11:14:07.096000;619
11:14:07.715000;626
11:14:08.341000;591
11:14:08.932000;617
11:14:09.549000;586
11:14:10.135000;572
11:14:10.707000;557
11:14:11.264000;548
11:14:11.812000;545
11:14:12.357000;537
11:14:12.894000;539
11:14:13.433000;544
11:14:13.977000;542
11:14:14.519000;548
11:14:15.067000;536
11:14:15.603000;539
11:14:16.142000;545
11:14:16.687000;566
