Phone timestamp;RR-interval [ms]
12:12:17.864000;661
12:12:18.525000;655
12:12:19.180000;647
12:12:19.827000;648
12:12:20.475000;642
12:12:21.117000;1890
12:12:23.007000;625
12:12:23.632000;624
12:12:24.256000;624
12:12:24.880000;633
12:12:25.513000;646
12:12:26.159000;659
12:12:26.818000;664
12:12:27.482000;650
12:12:28.132000;652
12:12:28.784000;640
12:12:29.424000;638
12:12:30.062000;640
12:12:30.702000;642
12:12:31.344000;637
12:12:31.981000;642
12:12:32.623000;643
12:12:33.266000;641
12:12:33.907000;646
12:12:34.553000;650
12:12:35.203000;642
12:12:35.845000;639
12:12:36.484000;646
12:12:37.130000;670
12:12:37.800000;693
12:12:38.493000;717
12:12:39.210000;715
12:12:39.925000;715
12:12:40.640000;708
12:12:41.348000;692
12:12:42.040000;675
12:12:42.715000;674
12:12:43.389000;1349
12:12:44.738000;658
12:12:45.396000;779
12:12:46.175000;550
12:12:46.725000;509
12:12:47.234000;491
12:12:47.725000;524
12:12:48.249000;4171
12:12:48.125000;745
12:12:48.870000;739
12:12:49.609000;720
12:12:50.329000;698
12:12:51.027000;692
12:12:51.719000;694
12:12:52.413000;681
12:12:53.094000;679
12:12:53.773000;681
12:12:54.454000;671
12:12:55.125000;682
12:12:55.807000;676
12:12:56.483000;675
12:12:57.158000;655
12:12:57.813000;665
12:12:58.478000;671
12:12:59.149000;750
12:12:59.899000;727
12:13:00.626000;700
12:13:01.326000;686
12:13:02.012000;682
12:13:02.694000;679
12:13:03.373000;700
12:13:04.073000;687
12:13:04.760000;710
12:13:05.470000;709
12:13:06.179000;683
12:13:06.862000;689
12:13:07.551000;693
12:13:08.244000;688
12:13:08.932000;688
12:13:09.620000;662
12:13:10.282000;673
12:13:10.955000;680
12:13:11.635000;662
12:13:12.297000;657
12:13:12.954000;648
12:13:13.602000;642
12:13:14.244000;634
12:13:14.878000;632
12:13:15.510000;1274
12:13:16.784000;636
12:13:17.420000;685
12:13:18.105000;297
12:13:18.402000;3215
12:13:17.322000;661
12:13:17.983000;5359
12:13:19.047000;611
12:13:19.658000;612
12:13:20.270000;614
12:13:20.884000;609
12:13:21.493000;608
12:13:22.101000;605
12:13:22.706000;604
12:13:23.310000;602
12:13:23.912000;600
12:13:24.512000;603
12:13:25.115000;601
12:13:25.716000;604
12:13:26.320000;604
12:13:26.924000;610
12:13:27.534000;612
12:13:28.146000;614
12:13:28.760000;620
12:13:29.380000;617
12:13:29.997000;615
12:13:30.612000;610
12:13:31.222000;610
12:13:31.832000;608
12:13:32.440000;606
12:13:33.046000;607
12:13:33.653000;608
12:13:34.261000;610
12:13:34.871000;627
12:13:35.498000;644
12:13:36.142000;636
12:13:36.778000;653
12:13:37.431000;668
12:13:38.099000;659
12:13:38.758000;654
12:13:39.412000;690
12:13:40.102000;713
12:13:40.815000;735
12:13:41.550000;694
12:13:42.244000;694
12:13:42.938000;697
12:13:43.635000;672
12:13:44.307000;661
12:13:44.968000;656
12:13:45.624000;654
12:13:46.278000;655
12:13:46.933000;654
12:13:47.587000;651
12:13:48.238000;651
12:13:48.889000;652
12:13:49.541000;651
12:13:50.192000;648
12:13:50.840000;649
12:13:51.489000;647
12:13:52.136000;653
12:13:52.789000;645
12:13:53.434000;646
12:13:54.080000;647
12:13:54.727000;645
12:13:55.372000;639
12:13:56.011000;642
12:13:56.653000;631
12:13:57.284000;417
12:13:57.701000;787
12:13:58.488000;637
12:13:59.125000;621
12:13:59.746000;630
12:14:00.376000;646
12:14:01.022000;648
12:14:01.670000;681
12:14:02.351000;664
12:14:03.015000;680
12:14:03.695000;698
12:14:04.393000;691
12:14:05.084000;681
12:14:05.765000;685
12:14:06.450000;687
12:14:07.137000;688
12:14:07.825000;681
12:14:08.506000;678
12:14:09.184000;682
12:14:09.866000;667
12:14:10.533000;671
12:14:11.204000;663
12:14:11.867000;676
12:14:12.543000;684
12:14:13.227000;678
12:14:13.905000;678
12:14:14.583000;690
12:14:15.273000;709
12:14:15.982000;696
12:14:16.678000;698
12:14:17.376000;687
12:14:18.063000;701
12:14:18.764000;743
12:14:19.507000;745
12:14:20.252000;735
12:14:20.987000;736
12:14:21.723000;686
12:14:22.409000;699
12:14:23.108000;683
12:14:23.791000;679
12:14:24.470000;672
12:14:25.142000;675
12:14:25.817000;674
12:14:26.491000;677
12:14:27.168000;665
12:14:27.833000;668
12:14:28.501000;664
12:14:29.165000;667
12:14:29.832000;656
12:14:30.488000;653
12:14:31.141000;652
12:14:31.793000;647
12:14:32.440000;642
12:14:33.082000;636
12:14:33.718000;634
12:14:34.352000;633
12:14:34.985000;627
12:14:35.612000;622
12:14:36.234000;619
12:14:36.853000;617
12:14:37.470000;616
12:14:38.086000;614
12:14:38.700000;615
12:14:39.315000;618
12:14:39.933000;624
12:14:40.557000;628
12:14:41.185000;637
12:14:41.822000;644
12:14:42.466000;658
12:14:43.124000;647
12:14:43.771000;650
12:14:44.421000;660
12:14:45.081000;650
12:14:45.731000;656
12:14:46.387000;646
12:14:47.033000;646
12:14:47.679000;646
12:14:48.325000;643
12:14:48.968000;635
12:14:49.603000;631
12:14:50.234000;626
12:14:50.860000;623
12:14:51.483000;617
12:14:52.100000;618
12:14:52.718000;619
12:14:53.337000;620
12:14:53.957000;621
12:14:54.578000;626
12:14:55.204000;635
12:14:55.839000;642
12:14:56.481000;646
12:14:57.127000;649
12:14:57.776000;644
12:14:58.420000;646
12:14:59.066000;645
12:14:59.711000;646
12:15:00.357000;642
12:15:00.999000;649
12:15:01.648000;673
12:15:02.321000;690
12:15:03.011000;693
12:15:03.704000;691
12:15:04.395000;684
